
 
*********************************** 
*********************************** 
       Corte Phi =  0.000000 
*********************************** 
*********************************** 
			CP				XP
		---------------------------	---------------------------
THETA      	MODULO     	FASE       	MODULO     	FASE       
-----------	-----------	-----------	-----------	-----------
-179.000000	-30.694003	-156.782744	-44.806141	-122.202725
-178.000000	-31.356899	-161.765424	-41.589486	-150.768312
-177.000000	-31.560731	-171.990373	-41.021709	-160.166421
-176.000000	-30.972289	174.012019	-43.778488	-156.031427
-175.000000	-29.811468	160.459636	-50.635069	-100.980774
-174.000000	-28.649108	150.876799	-41.963271	-25.909235
-173.000000	-27.910110	144.208102	-35.656848	-15.209233
-172.000000	-27.738051	139.373487	-32.401429	-12.050126
-171.000000	-28.108510	135.656824	-30.766717	-9.904239
-170.000000	-29.101022	132.298018	-30.205749	-6.850303
-169.000000	-30.704037	129.797400	-30.341918	-1.269922
-168.000000	-33.372720	126.737391	-30.934925	 8.420601
-167.000000	-38.047724	121.003418	-31.507770	22.656582
-166.000000	-47.382861	90.955560	-31.440132	37.137014
-165.000000	-43.766154	-5.265917	-31.105403	47.870644
-164.000000	-37.490037	-12.626930	-31.031313	54.011531
-163.000000	-33.849576	-7.273929	-31.471712	58.090633
-162.000000	-31.353083	 1.989543	-32.701261	61.071845
-161.000000	-29.680776	12.525422	-34.516144	64.979737
-160.000000	-28.755793	23.693990	-36.492945	70.174683
-159.000000	-28.527777	35.665976	-38.713213	71.736151
-158.000000	-28.857308	49.574064	-40.898724	69.598306
-157.000000	-29.304645	66.186559	-42.394380	63.845141
-156.000000	-29.570360	82.899240	-43.074967	59.874112
-155.000000	-29.776264	94.631270	-44.307134	63.428321
-154.000000	-30.305607	102.539198	-47.740354	72.929155
-153.000000	-31.260340	109.142106	-59.012353	95.054428
-152.000000	-32.503768	115.279385	-50.364972	-106.478412
-151.000000	-33.440015	120.654700	-42.859696	-96.618624
-150.000000	-33.427466	121.047684	-39.605019	-90.780508
-149.000000	-32.447484	117.653803	-37.318145	-89.687774
-148.000000	-31.244408	114.893166	-35.355512	-94.107081
-147.000000	-30.473575	116.905792	-33.703905	-97.953755
-146.000000	-30.083254	124.238577	-32.157553	-97.668827
-145.000000	-29.743902	135.011518	-30.761723	-93.694679
-144.000000	-29.138709	143.164220	-29.715651	-88.224435
-143.000000	-28.286126	151.785550	-29.314906	-81.459578
-142.000000	-27.466391	160.110005	-29.857748	-71.532885
-141.000000	-26.916652	167.778290	-30.888736	-56.084154
-140.000000	-26.557123	176.162481	-31.438707	-36.820329
-139.000000	-26.152223	-177.860397	-31.442001	-23.089423
-138.000000	-25.536921	-177.325543	-31.903837	-18.889716
-137.000000	-24.812449	-179.732446	-33.184330	-21.546224
-136.000000	-24.079532	177.416970	-35.944263	-30.995315
-135.000000	-23.404689	175.974627	-39.152138	-59.205594
-134.000000	-22.616244	176.483919	-37.026212	-89.154501
-133.000000	-21.579377	178.901660	-33.059306	-88.428423
-132.000000	-20.590219	-175.242807	-30.552639	-77.989239
-131.000000	-19.857843	-166.600912	-29.410581	-62.667438
-130.000000	-19.575337	-158.233346	-28.583850	-43.639931
-129.000000	-19.763221	-149.831169	-27.822676	-22.621433
-128.000000	-20.291296	-142.433780	-26.797055	-1.658225
-127.000000	-21.160682	-138.925214	-25.942537	16.118584
-126.000000	-22.139436	-140.176161	-26.002790	28.422761
-125.000000	-22.699787	-147.502189	-27.281883	37.292525
-124.000000	-22.134727	-156.068502	-29.175828	44.088147
-123.000000	-20.789610	-160.538349	-30.257575	45.250579
-122.000000	-19.274380	-161.887212	-29.844178	30.519734
-121.000000	-18.134819	-158.259849	-27.967350	15.282525
-120.000000	-17.375707	-149.560108	-26.342773	15.070772
-119.000000	-17.120610	-139.709472	-26.187566	22.584455
-118.000000	-17.891784	-132.672853	-28.571269	24.069030
-117.000000	-19.576362	-133.447461	-32.789800	-9.912477
-116.000000	-20.957295	-144.687085	-29.404768	-47.938416
-115.000000	-20.406723	-156.697920	-26.620318	-40.162614
-114.000000	-19.147930	-158.167848	-25.776321	-17.047242
-113.000000	-18.323769	-153.144455	-25.705926	13.096834
-112.000000	-18.248692	-147.206576	-25.320823	47.363869
-111.000000	-18.733493	-142.548048	-23.865400	76.983626
-110.000000	-19.506216	-141.340075	-23.394200	92.750969
-109.000000	-19.572740	-142.463597	-25.295782	95.713124
-108.000000	-18.355149	-142.939005	-28.662957	78.842425
-107.000000	-16.747362	-140.988366	-27.578042	47.571438
-106.000000	-15.790157	-137.163669	-24.632529	43.777521
-105.000000	-15.816448	-132.986357	-23.396611	53.341148
-104.000000	-16.711284	-133.110229	-24.328809	70.454185
-103.000000	-17.787737	-143.100532	-26.381746	94.161613
-102.000000	-17.447308	-159.346048	-28.734487	110.617660
-101.000000	-15.955332	-167.905992	-29.863408	94.354833
-100.000000	-15.074568	-163.344924	-26.039491	78.792858
-99.000000	-14.908772	-151.718105	-21.580532	80.853270
-98.000000	-15.335871	-141.647060	-18.848062	82.146240
-97.000000	-16.309561	-137.936283	-17.801035	79.030174
-96.000000	-16.899926	-143.451066	-17.729700	71.863250
-95.000000	-15.894097	-152.608338	-17.794338	62.209950
-94.000000	-14.190891	-155.353853	-17.744519	55.990678
-93.000000	-13.170883	-155.417811	-18.109129	55.199460
-92.000000	-13.267732	-155.582773	-19.348999	60.629796
-91.000000	-14.085936	-160.044818	-21.296776	70.036395
-90.000000	-14.394565	-167.954270	-22.292811	73.237287
-89.000000	-13.817092	-171.588682	-21.304847	66.272526
-88.000000	-13.317142	-169.308374	-19.268454	57.328355
-87.000000	-13.498085	-164.854734	-17.290722	48.310389
-86.000000	-14.185821	-160.422173	-16.016026	42.163816
-85.000000	-14.677715	-160.831951	-15.679388	37.841190
-84.000000	-14.324914	-166.170740	-16.343317	33.204415
-83.000000	-13.289027	-171.577434	-17.635073	25.208638
-82.000000	-12.422908	-173.075237	-18.685467	15.807664
-81.000000	-12.205275	-171.440659	-18.723446	13.612249
-80.000000	-12.638301	-169.734760	-18.217356	20.839401
-79.000000	-13.451010	-170.030254	-17.658704	31.931967
-78.000000	-13.932026	-171.949966	-17.631888	39.441971
-77.000000	-13.448685	-172.294124	-18.353372	36.826399
-76.000000	-12.353963	-171.006639	-18.572338	20.915017
-75.000000	-11.472196	-170.879757	-17.195560	 5.544235
-74.000000	-11.137597	-171.885663	-15.945845	 0.371381
-73.000000	-11.097008	-175.496911	-16.224210	-1.000880
-72.000000	-10.887537	179.651293	-17.874798	-3.791563
-71.000000	-10.485309	176.127051	-19.511134	-10.747895
-70.000000	-10.246175	175.080576	-19.195790	-15.709344
-69.000000	-10.396334	175.620735	-17.574552	-12.659978
-68.000000	-10.817568	175.673289	-15.978788	-5.140568
-67.000000	-11.233568	173.804531	-15.342451	 0.360188
-66.000000	-11.381465	171.016399	-15.673482	-0.454589
-65.000000	-11.244034	168.249312	-16.126928	-10.225118
-64.000000	-11.033909	165.148368	-15.398389	-24.246648
-63.000000	-10.878987	163.258476	-14.300818	-29.188650
-62.000000	-10.819968	161.410450	-14.117827	-27.444342
-61.000000	-10.947852	160.558135	-15.111071	-23.608985
-60.000000	-11.310421	159.398567	-16.609135	-25.851249
-59.000000	-11.808494	157.055868	-16.797319	-38.068444
-58.000000	-12.108435	152.915194	-14.991506	-47.186131
-57.000000	-12.075405	148.762299	-13.218834	-46.925541
-56.000000	-11.887085	145.154270	-12.393840	-42.994913
-55.000000	-11.839814	141.987414	-12.578564	-41.157542
-54.000000	-12.037017	137.570027	-13.302772	-44.997909
-53.000000	-12.396088	129.947532	-13.729950	-56.152431
-52.000000	-12.701864	120.588298	-13.291982	-65.658018
-51.000000	-12.883286	110.816395	-12.647549	-68.650373
-50.000000	-13.152261	102.411606	-12.466326	-67.110304
-49.000000	-13.822840	95.074115	-12.880028	-64.625197
-48.000000	-14.903821	85.308008	-13.501156	-66.129640
-47.000000	-15.767494	71.353984	-13.581161	-72.149895
-46.000000	-15.787863	56.047520	-12.846974	-77.897120
-45.000000	-15.078844	43.692788	-11.952425	-80.081222
-44.000000	-14.258860	35.769324	-11.533495	-81.114843
-43.000000	-13.862391	32.091603	-11.753872	-82.825066
-42.000000	-14.198865	28.912889	-12.407663	-88.055491
-41.000000	-15.165042	21.818962	-12.792027	-96.894421
-40.000000	-15.924268	 7.959123	-12.286109	-105.015428
-39.000000	-15.614634	-7.365544	-11.272694	-107.353268
-38.000000	-14.797183	-16.476282	-10.475918	-104.918579
-37.000000	-14.374021	-18.753542	-10.235638	-100.732356
-36.000000	-14.663281	-17.568838	-10.560294	-97.686739
-35.000000	-15.705961	-14.722806	-11.267859	-97.809798
-34.000000	-17.381805	-12.169383	-12.059401	-102.628545
-33.000000	-19.360584	-10.495322	-12.450839	-110.109234
-32.000000	-21.338865	-10.639074	-12.361165	-116.504918
-31.000000	-23.511709	-12.296078	-12.192146	-120.238859
-30.000000	-26.673126	-14.333635	-12.351583	-122.190005
-29.000000	-33.463005	-12.409391	-12.870395	-124.007727
-28.000000	-37.909307	138.483480	-13.537208	-127.204326
-27.000000	-25.157850	148.784671	-14.036292	-131.566640
-26.000000	-19.437371	150.242969	-14.160671	-135.847920
-25.000000	-15.746913	151.442982	-13.857021	-138.970900
-24.000000	-13.157278	152.444611	-13.320659	-139.550235
-23.000000	-11.212771	152.134791	-12.864515	-137.877595
-22.000000	-9.650668	150.554528	-12.712210	-134.983672
-21.000000	-8.332398	148.092408	-13.016650	-132.032362
-20.000000	-7.098154	144.989101	-13.730939	-130.212335
-19.000000	-5.854985	141.766525	-14.833053	-129.715630
-18.000000	-4.582537	138.961207	-16.112882	-131.654884
-17.000000	-3.305396	137.210067	-17.373824	-135.884558
