
 
*********************************** 
*********************************** 
       Corte Phi =  0.000000 
*********************************** 
*********************************** 
			CP				XP
		---------------------------	---------------------------
THETA      	MODULO     	FASE       	MODULO     	FASE       
-----------	-----------	-----------	-----------	-----------
-179.000000	-26.044234	57.166558	-32.574669	32.915104
-178.000000	-30.070705	50.526973	-29.706641	15.593222
-177.000000	-38.365991	 8.234525	-28.679471	 9.237425
-176.000000	-32.701392	-76.804636	-29.490838	 9.621102
-175.000000	-27.127513	-86.686717	-32.377995	18.374416
-174.000000	-24.372505	-85.640603	-37.195248	56.648926
-173.000000	-23.084129	-80.167260	-34.576029	118.052133
-172.000000	-22.593882	-72.188940	-30.122788	138.008631
-171.000000	-22.577669	-61.268644	-27.715495	145.661184
-170.000000	-22.826444	-48.177680	-26.901473	150.469068
-169.000000	-23.145311	-32.958323	-27.371198	157.590960
-168.000000	-23.416612	-16.069105	-28.728517	170.813107
-167.000000	-23.571829	 1.495582	-30.242296	-167.168077
-166.000000	-23.653357	19.100234	-30.479772	-139.522874
-165.000000	-23.683398	37.626968	-29.726619	-117.156541
-164.000000	-23.524471	55.683215	-29.233978	-100.005924
-163.000000	-23.061392	73.201322	-29.007947	-82.618957
-162.000000	-22.409827	89.022377	-28.707081	-63.572085
-161.000000	-21.583718	102.669117	-27.884808	-46.537836
-160.000000	-20.847642	114.713831	-26.692240	-32.872305
-159.000000	-20.275978	126.649099	-25.588961	-23.020220
-158.000000	-19.856214	138.072475	-24.944665	-15.388178
-157.000000	-19.517161	149.242114	-24.787093	-8.734360
-156.000000	-19.048331	160.720808	-24.841439	-3.483553
-155.000000	-18.269737	172.024839	-24.826489	-0.118425
-154.000000	-17.266820	-178.039759	-24.791209	 0.923629
-153.000000	-16.368433	-169.759482	-24.988236	 0.628352
-152.000000	-15.786742	-162.222250	-25.577862	 2.311119
-151.000000	-15.504348	-154.001710	-26.461078	 7.288689
-150.000000	-15.491487	-145.448768	-27.407828	13.918262
-149.000000	-15.628604	-136.838081	-28.512415	19.189491
-148.000000	-15.993518	-128.061276	-30.054317	20.771425
-147.000000	-16.643292	-118.413791	-32.697748	15.176987
-146.000000	-17.374965	-107.841170	-37.175010	-9.382034
-145.000000	-17.896744	-97.690709	-36.414443	-78.580670
-144.000000	-18.195267	-91.447602	-30.362835	-106.036316
-143.000000	-18.416102	-88.896429	-26.442151	-114.617734
-142.000000	-18.528888	-88.142230	-24.106630	-118.564450
-141.000000	-18.608747	-88.916299	-22.704310	-119.273231
-140.000000	-18.489365	-90.104546	-21.769182	-117.630785
-139.000000	-18.135888	-90.850844	-21.080045	-115.998177
-138.000000	-17.669841	-89.785058	-20.708253	-116.942465
-137.000000	-17.313378	-87.097815	-20.412843	-119.727198
-136.000000	-17.115929	-84.115229	-20.163099	-124.100790
-135.000000	-17.136810	-82.002427	-20.099077	-129.150675
-134.000000	-17.585692	-80.744524	-20.329281	-133.920693
-133.000000	-18.528204	-77.896840	-20.665150	-136.111083
-132.000000	-19.476049	-72.317133	-20.890813	-133.141971
-131.000000	-19.993092	-66.461863	-20.934489	-125.182520
-130.000000	-19.973015	-64.311638	-21.209745	-117.074669
-129.000000	-19.553031	-61.587535	-22.112501	-106.841680
-128.000000	-18.830958	-55.729860	-22.944926	-90.796228
-127.000000	-18.079455	-49.753038	-22.443533	-75.054950
-126.000000	-17.436115	-44.826068	-21.167181	-67.503553
-125.000000	-16.933999	-41.266951	-19.929559	-68.219596
-124.000000	-16.731882	-41.319166	-18.836178	-71.559497
-123.000000	-17.011677	-45.694177	-17.624182	-71.614250
-122.000000	-17.570557	-55.084248	-16.479162	-71.094007
-121.000000	-17.851991	-66.151596	-15.907642	-71.288618
-120.000000	-17.607459	-71.908112	-16.040369	-71.120627
-119.000000	-17.047172	-71.118267	-16.724987	-71.865965
-118.000000	-17.138405	-65.606855	-17.369713	-73.988085
-117.000000	-18.572646	-54.791868	-17.387416	-77.535601
-116.000000	-21.222720	-34.202745	-17.186199	-76.468299
-115.000000	-23.050644	-12.730616	-17.388823	-67.483047
-114.000000	-23.447302	-10.363245	-17.820723	-52.737861
-113.000000	-21.827088	-25.226425	-18.279816	-39.888078
-112.000000	-19.373288	-33.287948	-18.666979	-33.085531
-111.000000	-17.464882	-33.737532	-18.117823	-34.281719
-110.000000	-16.517677	-30.698616	-16.233685	-39.197082
-109.000000	-16.566214	-31.043138	-14.126344	-40.729342
-108.000000	-17.309112	-38.406438	-12.715174	-39.174081
-107.000000	-18.023250	-48.429244	-12.199909	-37.708651
-106.000000	-18.395265	-50.963976	-12.489986	-37.971630
-105.000000	-18.552526	-43.293562	-13.397395	-41.116241
-104.000000	-18.963100	-31.034302	-14.128956	-45.386239
-103.000000	-20.299039	-17.446737	-13.890086	-46.153275
-102.000000	-21.914159	-5.285549	-13.048387	-41.222634
-101.000000	-21.687943	-11.706125	-12.263816	-33.392944
-100.000000	-18.815207	-28.132361	-11.716082	-26.662841
-99.000000	-15.893656	-33.232327	-11.244102	-26.223484
-98.000000	-14.475807	-31.087752	-10.667634	-32.909403
-97.000000	-14.603223	-27.716588	-9.919991	-40.380594
-96.000000	-16.255046	-27.569986	-9.190637	-45.870090
-95.000000	-18.571794	-34.871444	-8.947134	-49.728604
-94.000000	-19.858724	-44.847739	-9.254456	-51.734952
-93.000000	-19.183780	-45.784030	-9.794642	-54.070564
-92.000000	-18.161952	-37.442785	-10.221036	-52.978275
-91.000000	-17.966322	-29.038047	-10.298130	-47.517185
-90.000000	-18.523970	-26.180337	-10.049278	-40.937141
-89.000000	-18.694750	-28.879518	-9.627331	-36.972574
-88.000000	-17.496176	-30.919952	-9.231574	-37.714406
-87.000000	-16.039834	-31.559783	-8.926182	-42.896146
-86.000000	-15.850830	-32.242410	-8.646494	-48.068876
-85.000000	-17.515655	-35.539032	-8.429193	-54.301150
-84.000000	-20.355699	-43.739036	-8.337936	-58.464137
-83.000000	-22.512243	-53.431038	-8.395981	-57.768842
-82.000000	-22.573398	-44.869712	-8.539542	-53.846813
-81.000000	-20.295898	-21.794858	-8.553063	-49.827764
-80.000000	-17.801475	-6.608589	-8.258425	-48.550069
-79.000000	-16.739993	-0.612908	-7.593295	-51.226597
-78.000000	-17.366167	-2.395594	-6.737292	-54.510052
-77.000000	-18.571215	-13.125682	-6.060067	-56.889791
-76.000000	-18.985351	-24.919715	-5.897923	-59.372453
-75.000000	-18.826547	-23.394176	-6.249513	-63.657056
-74.000000	-18.680463	-7.579434	-6.635962	-70.390757
-73.000000	-18.177671	 8.946332	-6.637422	-75.661942
-72.000000	-17.414555	13.481095	-6.439632	-76.185659
-71.000000	-16.223351	 7.097043	-6.317364	-74.698474
-70.000000	-14.660293	-0.238156	-6.270755	-74.933005
-69.000000	-13.892104	-2.954651	-6.088323	-77.961651
-68.000000	-14.475550	-4.665204	-5.553511	-82.923614
-67.000000	-16.356374	-8.415318	-4.936086	-86.822599
-66.000000	-18.602540	-14.778273	-4.651003	-89.413119
-65.000000	-19.860357	-17.894681	-4.949984	-91.734343
-64.000000	-19.769564	-13.239597	-5.630087	-96.686722
-63.000000	-19.004859	-4.828192	-6.028056	-102.871180
-62.000000	-18.523650	 0.883596	-5.787695	-108.402576
-61.000000	-18.902090	 4.914662	-5.403127	-109.383747
-60.000000	-20.487756	 7.539195	-5.380704	-108.112864
-59.000000	-23.191971	11.319629	-5.787923	-108.524178
-58.000000	-26.102896	19.218818	-6.146024	-113.461691
-57.000000	-27.525751	35.334408	-5.961949	-120.549429
-56.000000	-26.359349	50.892024	-5.456380	-126.624570
-55.000000	-24.433206	58.791481	-5.335384	-129.599457
-54.000000	-23.149874	64.671121	-5.789903	-131.886443
-53.000000	-23.255525	72.947293	-6.545217	-136.332313
-52.000000	-24.938804	91.599383	-7.059362	-141.636227
-51.000000	-25.702994	129.681602	-7.061620	-145.337733
-50.000000	-22.800633	157.729314	-6.814400	-146.288649
-49.000000	-19.155513	165.852029	-6.693565	-145.340029
-48.000000	-15.725030	164.700956	-6.912789	-146.576549
-47.000000	-12.765511	161.738721	-7.332528	-152.251341
-46.000000	-10.510748	158.965233	-7.505497	-161.674943
-45.000000	-8.898042	155.534256	-7.259322	-170.864878
-44.000000	-7.930288	151.164006	-7.106303	-175.543630
-43.000000	-7.242349	145.960243	-7.505509	-177.130791
-42.000000	-6.542153	140.369972	-8.531713	-179.186689
-41.000000	-5.756074	135.930007	-9.734699	176.193376
-40.000000	-4.952973	132.958293	-10.378409	168.110768
-39.000000	-4.246217	131.524189	-10.055932	161.379503
-38.000000	-3.855523	130.641231	-9.330696	159.182534
-37.000000	-3.790096	129.358303	-8.914184	159.860549
-36.000000	-3.959813	126.382768	-9.122429	159.881978
-35.000000	-4.159302	122.676229	-9.852446	156.815673
-34.000000	-4.312835	117.880392	-10.795609	148.420103
-33.000000	-4.461284	113.595711	-11.460884	137.343585
-32.000000	-4.731041	110.629071	-11.807090	128.600555
-31.000000	-5.221615	108.040186	-12.256340	123.964577
-30.000000	-5.924213	105.255749	-13.238536	122.402332
-29.000000	-6.768425	101.932082	-14.846691	120.543808
-28.000000	-7.665314	97.319063	-16.687421	113.307524
-27.000000	-8.503325	92.017854	-17.554320	100.254673
-26.000000	-9.341155	85.940319	-16.994623	88.580124
-25.000000	-10.271535	77.735115	-15.871423	82.304049
-24.000000	-11.318868	66.758721	-15.009211	80.187050
-23.000000	-12.281594	50.752950	-14.622841	79.416278
-22.000000	-12.532005	28.457374	-14.851061	77.702043
-21.000000	-11.429602	 5.495866	-15.694952	73.213810
-20.000000	-9.283612	-11.908241	-16.800299	63.478066
-19.000000	-6.904552	-22.267205	-17.520109	49.558412
