
 
*********************************** 
*********************************** 
       Corte Phi =  0.000000 
*********************************** 
*********************************** 
			CP				XP
		---------------------------	---------------------------
THETA      	MODULO     	FASE       	MODULO     	FASE       
-----------	-----------	-----------	-----------	-----------
-75.000000	-12.796731	-119.675470	-12.125509	-80.783043
-74.000000	-13.224850	-115.106543	-11.964041	-86.370771
-73.000000	-13.796399	-113.119407	-11.073042	-95.508322
-72.000000	-14.018698	-116.748826	-10.036118	-100.127978
-71.000000	-13.717281	-122.252799	-9.543779	-102.656671
-70.000000	-13.557123	-125.288432	-9.853903	-106.867636
-69.000000	-14.210761	-125.904378	-10.421985	-113.708297
-68.000000	-15.616295	-129.390184	-10.413697	-120.824905
-67.000000	-16.901583	-136.649408	-9.851903	-122.344489
-66.000000	-17.464225	-142.685040	-9.424831	-120.035160
-65.000000	-17.863182	-142.461912	-9.538429	-117.618644
-64.000000	-18.626394	-137.728392	-10.075886	-121.281496
-63.000000	-19.791486	-130.809824	-10.081513	-131.766628
-62.000000	-21.271123	-128.672394	-9.016435	-142.522003
-61.000000	-23.102128	-137.449916	-8.022626	-146.450409
-60.000000	-24.189752	-162.682262	-7.966602	-147.052780
-59.000000	-22.953137	170.961547	-8.751793	-149.724602
-58.000000	-21.842409	156.849420	-9.362310	-155.893383
-57.000000	-21.862597	143.013426	-9.065042	-161.406351
-56.000000	-21.962483	119.242648	-8.361986	-163.499631
-55.000000	-20.049686	95.127172	-8.069632	-163.481993
-54.000000	-17.110758	82.909987	-8.203604	-165.944693
-53.000000	-14.867942	80.372807	-8.279201	-172.923443
-52.000000	-13.290565	80.338862	-7.853821	178.366795
-51.000000	-11.923055	78.131674	-7.201206	172.100264
-50.000000	-10.638309	72.727280	-6.946614	169.417535
-49.000000	-9.308963	66.078608	-7.272544	168.308381
-48.000000	-8.089589	59.935517	-7.957018	165.876191
-47.000000	-7.212267	54.763186	-8.374740	160.889170
-46.000000	-6.654773	50.667535	-8.103636	155.738506
-45.000000	-6.179677	46.169215	-7.335385	152.321553
-44.000000	-5.710372	43.213411	-6.774616	151.889817
-43.000000	-5.221474	41.773559	-6.659264	151.162982
-42.000000	-4.779218	41.681094	-6.871761	147.107261
-41.000000	-4.456043	42.708063	-6.967110	141.031947
-40.000000	-4.275778	43.821651	-6.760467	135.265099
-39.000000	-4.234077	43.591011	-6.470353	132.254202
-38.000000	-4.236114	42.061735	-6.380512	132.056974
-37.000000	-4.163285	39.027933	-6.555723	132.758995
-36.000000	-3.973404	35.985493	-6.930502	132.382768
-35.000000	-3.788896	34.756060	-7.280905	129.931431
-34.000000	-3.721570	34.218180	-7.406118	124.874110
-33.000000	-3.845119	33.866149	-7.297790	120.253070
-32.000000	-4.142053	33.430070	-7.281133	117.753093
-31.000000	-4.572031	32.068004	-7.610382	116.233201
-30.000000	-5.049141	29.867217	-8.292750	114.584501
-29.000000	-5.617758	27.486489	-9.177491	111.943285
-28.000000	-6.452151	25.078617	-10.030445	107.814267
-27.000000	-7.696606	22.367438	-10.585869	103.508671
-26.000000	-9.603361	18.242787	-10.919964	100.916094
-25.000000	-12.607287	 9.869585	-11.275994	100.670280
-24.000000	-17.187378	-11.320555	-11.878791	102.062836
-23.000000	-19.602702	-71.629412	-12.812795	103.881471
-22.000000	-14.516166	-112.390716	-14.081751	104.245432
-21.000000	-10.649035	-125.237030	-15.521490	102.386958
-20.000000	-7.950908	-132.463966	-17.016248	97.002234
-19.000000	-5.904489	-137.910092	-18.174260	90.002561
-18.000000	-4.222586	-142.262177	-18.906158	85.250428
-17.000000	-2.701698	-146.183039	-19.605864	84.599860
-16.000000	-1.296936	-149.303295	-20.591200	88.540224
-15.000000	-0.025090	-151.603146	-21.989260	95.430455
-14.000000	 1.167517	-153.335427	-23.843746	105.043131
-13.000000	 2.216986	-154.504202	-26.002543	116.754061
-12.000000	 3.087208	-155.345618	-28.546258	129.702414
-11.000000	 3.866543	-155.787680	-32.407527	145.180036
-10.000000	 4.495306	-156.016727	-39.336462	169.218271
-9.000000	 5.003610	-156.374800	-43.743479	-77.472799
-8.000000	 5.421758	-156.422979	-34.554746	-39.712858
-7.000000	 5.756618	-156.454174	-30.402683	-29.311672
-6.000000	 6.025446	-156.953304	-28.132163	-23.204751
-5.000000	 6.246197	-157.141954	-26.943239	-17.072418
-4.000000	 6.417547	-157.300696	-26.656703	-9.903965
-3.000000	 6.542644	-157.486346	-27.032654	-0.839154
-2.000000	 6.620273	-157.526989	-27.905659	11.123967
-1.000000	 6.647904	-157.179882	-28.871705	26.847467
 0.000000	 6.621869	-156.877076	-29.270007	45.752724
 1.000000	 6.535590	-157.002148	-28.639910	63.286916
 2.000000	 6.401484	-156.492811	-27.478166	75.866583
 3.000000	 6.201690	-155.735125	-26.211156	84.624681
 4.000000	 5.934987	-155.701806	-25.098381	90.188667
 5.000000	 5.608460	-155.371367	-24.272034	95.161881
 6.000000	 5.206535	-154.665055	-23.664428	100.478088
 7.000000	 4.747410	-154.201130	-23.355587	105.618650
 8.000000	 4.237101	-153.718553	-23.396451	111.113861
 9.000000	 3.650868	-152.930496	-23.822753	118.404955
10.000000	 2.991814	-152.049718	-24.627550	128.368582
11.000000	 2.245670	-151.151965	-25.580990	143.161935
12.000000	 1.347328	-149.378443	-25.930404	165.422017
13.000000	 0.334126	-147.625160	-24.979164	-172.286304
14.000000	-0.855499	-145.197449	-23.314295	-154.587120
15.000000	-2.282495	-142.258107	-21.512408	-140.996210
16.000000	-3.899673	-138.727823	-19.838136	-130.062365
17.000000	-5.826773	-134.154777	-18.217358	-121.184048
18.000000	-8.168351	-127.514585	-16.665386	-114.228502
19.000000	-10.905444	-116.818380	-15.341742	-108.553755
20.000000	-13.964298	-99.350141	-14.190833	-104.781309
21.000000	-16.279896	-69.199132	-13.192774	-101.411458
22.000000	-16.001638	-35.974544	-12.383057	-98.214179
23.000000	-14.118091	-12.943240	-11.696617	-95.305157
24.000000	-12.082862	 1.825590	-11.080638	-91.759145
25.000000	-10.400600	11.206758	-10.543114	-88.339261
26.000000	-8.941658	18.102837	-10.089405	-85.178613
27.000000	-7.717869	23.980736	-9.794327	-81.831092
28.000000	-6.735857	28.648497	-9.591511	-78.740587
29.000000	-5.959898	32.724672	-9.390195	-75.721562
30.000000	-5.480347	36.281416	-9.112130	-72.932275
31.000000	-5.254173	39.415146	-8.741640	-70.438635
32.000000	-5.255613	41.813805	-8.297589	-68.340999
33.000000	-5.477205	44.110961	-7.846467	-65.870687
34.000000	-5.842727	45.371111	-7.465746	-63.481135
35.000000	-6.218594	46.552590	-7.148238	-60.074923
36.000000	-6.489642	47.142819	-6.892810	-56.204635
37.000000	-6.638237	47.363666	-6.759975	-53.004707
38.000000	-6.777631	48.554266	-6.765607	-49.375667
39.000000	-7.026038	49.783876	-6.832937	-46.684714
40.000000	-7.516364	52.261178	-6.951880	-44.062502
41.000000	-8.237197	55.616667	-7.157258	-42.260478
42.000000	-9.045964	57.902812	-7.360573	-40.020779
43.000000	-9.916193	57.989262	-7.497382	-37.114614
44.000000	-10.956450	57.137101	-7.619739	-32.129569
45.000000	-12.018531	56.550116	-7.723087	-25.986759
46.000000	-13.100369	60.018092	-7.731108	-18.711546
47.000000	-14.017463	69.070158	-7.646049	-11.306418
48.000000	-14.520686	79.472181	-7.588717	-6.396711
49.000000	-14.902590	90.196500	-7.606707	-1.965063
50.000000	-15.831417	99.266316	-7.844594	 0.035419
51.000000	-17.542049	111.333716	-8.351828	 0.808367
52.000000	-19.438140	131.125853	-8.985943	 3.183763
53.000000	-20.301597	155.496234	-9.436305	 8.439469
54.000000	-20.016950	175.346895	-9.522713	14.894252
