#Parameters = {L=14.76212419082; Lstrip=14.805091994955; Lsus=35; W=15.46391753; Wstrip=1.65; Wsus=30.927835051546; a=0; d=30.927835051546; e=0.035; epsilonefe=3.505358317; g=1.1715; h=1.58; lambda=61.855670103093; lambdaparche=33.03796639; r_x0=240.2578583; x0=4.6861540903649}
#"Frequency / GHz"	"S1,1 [Magnitude]"
#------------------------------------
4.4000000953674	-5.3875523248858
4.4008998870850	-5.3988422843638
4.4018001556396	-5.4102347293411
4.4026999473572	-5.4217285812479
4.4036002159119	-5.4333293460425
4.4045000076294	-5.4450378160924
4.4053997993469	-5.4568524517793
4.4063000679016	-5.4687768205700
4.4071998596191	-5.4808129129703
4.4081001281738	-5.4929603378320
4.4089999198914	-5.5052219281603
4.4099001884460	-5.5175984234381
4.4107999801636	-5.5300925060590
4.4116997718811	-5.5427037192942
4.4126000404358	-5.5554348087730
4.4134998321533	-5.5682849429534
4.4144001007080	-5.5812591261173
4.4152998924255	-5.5943564332952
4.4162001609802	-5.6075786901402
4.4170999526978	-5.6209268893182
4.4180002212524	-5.6344029510938
4.4189000129700	-5.6480085963304
4.4197998046875	-5.6617438174838
4.4207000732422	-5.6756112963207
4.4215998649597	-5.6896109211713
4.4225001335144	-5.7037454555642
4.4233999252319	-5.7180169304887
4.4243001937866	-5.7324229466583
4.4251999855042	-5.7469690817608
4.4260997772217	-5.7616552639805
4.4270000457764	-5.7764817746978
4.4278998374939	-5.7914509900502
4.4288001060486	-5.8065636470808
4.4296998977661	-5.8218203832935
4.4306001663208	-5.8372243586098
4.4314999580383	-5.8527749298035
4.4324002265930	-5.8684743976445
4.4333000183105	-5.8843250655393
4.4341998100281	-5.9003261792771
4.4351000785828	-5.9164792595942
4.4359998703003	-5.9327863031051
4.4369001388550	-5.9492495670845
4.4377999305725	-5.9658682568344
4.4387001991272	-5.9826439043118
4.4395999908447	-5.9995783119978
4.4404997825623	-6.0166738972762
4.4414000511169	-6.0339297782302
4.4422998428345	-6.0513479831726
4.4432001113892	-6.0689297564220
4.4440999031067	-6.0866758252313
4.4450001716614	-6.1045885750024
4.4458999633789	-6.1226681317986
4.4468002319336	-6.1409155921396
4.4477000236511	-6.1593328885631
4.4485998153687	-6.1779204295013
4.4495000839233	-6.1966804390221
4.4503998756409	-6.2156135957499
4.4513001441956	-6.2347208174993
4.4521999359131	-6.2540037966698
4.4531002044678	-6.2734621130020
4.4539999961853	-6.2930979762721
4.4548997879028	-6.3129138429925
4.4558000564575	-6.3329079713459
4.4566998481750	-6.3530847536800
4.4576001167297	-6.3734417908344
4.4584999084473	-6.3939827015516
4.4594001770020	-6.4147083122074
4.4602999687195	-6.4356195923829
4.4612002372742	-6.4567171578104
4.4621000289917	-6.4780012252176
4.4629998207092	-6.4994762067687
4.4639000892639	-6.5211392462318
4.4647998809814	-6.5429949725380
4.4657001495361	-6.5650404210049
4.4665999412537	-6.5872807071743
4.4675002098083	-6.6097142052667
4.4684000015259	-6.6323433970336
4.4692997932434	-6.6551681289246
4.4702000617981	-6.6781913649456
4.4710998535156	-6.7014124122654
4.4720001220703	-6.7248322909036
4.4728999137878	-6.7484539334635
4.4738001823425	-6.7722764565996
4.4746999740601	-6.7963010300170
4.4755997657776	-6.8205305620193
4.4765000343323	-6.8449646551215
4.4773998260498	-6.8696037372551
4.4783000946045	-6.8944496960657
4.4791998863220	-6.9195033261206
