#Parameters = {L_parche_inf=15.28; L_parche_sup=14.98; Long_linea=17.19; W_linea=1.5; W_parche_inf=21.62; W_parche_sup=21.62; alpha=-21.96324717241; distancia_entre_parches=44.68085106383; h_0=4.335; h_cobre=0.035; h_sus=1.58; lambda_0=63.829787234042}
#"Frequency / GHz"	"S1,1 [Magnitude / dB]"
#-----------------------------------------
3.2000000476837	-1.9178772443143
3.2030000686646	-1.9171913720671
3.2060000896454	-1.9185405315244
3.2090001106262	-1.9218565644845
3.2119998931885	-1.9270359210034
3.2149999141693	-1.9339431220953
3.2179999351501	-1.9424165766977
3.2209999561310	-1.9522604991135
3.2239999771118	-1.9632618853671
3.2269999980927	-1.9751800986622
3.2300000190735	-1.9877649462752
3.2330000400543	-2.0007519782922
3.2360000610352	-2.0138677270762
3.2390000820160	-2.0268395208718
3.2420001029968	-2.0393991872894
3.2449998855591	-2.0512859521678
3.2479999065399	-2.0622528194937
3.2509999275208	-2.0720767588679
3.2539999485016	-2.0805554283610
3.2569999694824	-2.0875172833612
3.2599999904633	-2.0928247957133
3.2630000114441	-2.0963759314851
3.2660000324249	-2.0981067770365
3.2690000534058	-2.0979963062351
3.2720000743866	-2.0960586457500
3.2750000953674	-2.0923523490177
3.2780001163483	-2.0869746135449
3.2809998989105	-2.0800543887927
3.2839999198914	-2.0717570688735
3.2869999408722	-2.0622751833129
3.2899999618530	-2.0518240903242
3.2929999828339	-2.0406384425211
3.2960000038147	-2.0289725904150
3.2990000247955	-2.0170785603308
3.3020000457764	-2.0052231897637
3.3050000667572	-1.9936625573659
3.3080000877380	-1.9826502763559
3.3110001087189	-1.9724297881998
3.3139998912811	-1.9632234053339
3.3169999122620	-1.9552411641588
3.3199999332428	-1.9486639163297
3.3229999542236	-1.9436513912080
3.3259999752045	-1.9403332921418
3.3289999961853	-1.9388119189453
3.3320000171661	-1.9391561102337
3.3350000381470	-1.9414025341898
3.3380000591278	-1.9455583896743
3.3410000801086	-1.9515970325375
3.3440001010895	-1.9594606883002
3.3469998836517	-1.9690582774458
3.3499999046326	-1.9802746292291
3.3529999256134	-1.9929623648104
3.3559999465942	-2.0069511785153
3.3589999675751	-2.0220494358469
3.3619999885559	-2.0380466076434
3.3650000095367	-2.0547149459103
3.3680000305176	-2.0718180543027
3.3710000514984	-2.0891106813827
3.3740000724792	-2.1063496309126
3.3770000934601	-2.1232913348552
3.3800001144409	-2.1396999303834
3.3829998970032	-2.1553547726015
3.3859999179840	-2.1700517574171
3.3889999389648	-2.1836103403829
3.3919999599457	-2.1958771996521
3.3949999809265	-2.2067265661147
3.3980000019073	-2.2160701960894
3.4010000228882	-2.2238524336559
3.4040000438690	-2.2300562063167
3.4070000648499	-2.2347039364654
3.4100000858307	-2.2378509522912
3.4130001068115	-2.2395949250039
3.4159998893738	-2.2400634104729
3.4189999103546	-2.2394164463045
3.4219999313354	-2.2378448754674
3.4249999523163	-2.2355588657968
3.4279999732971	-2.2327917856321
3.4309999942780	-2.2297903204719
3.4340000152588	-2.2268098489867
3.4370000362396	-2.2241125177387
3.4400000572205	-2.2219601240947
3.4430000782013	-2.2206085341887
3.4460000991821	-2.2203056982463
3.4489998817444	-2.2212834804323
3.4519999027252	-2.2237600490494
